epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.666,2.29366,1.76185,0.00382,0.88112,0.84623,0.89518,0.37795,2.13803,0.74269,0.00587,0.000664011,0.000664011,0.000664011
2,374.314,2.30551,0.88694,0.0039,0.76334,0.72576,0.72643,0.21195,2.84679,1.19949,0.00781,0.00130433,0.00130433,0.00130433
3,468.552,2.28473,0.89459,0.00378,0.86869,0.81138,0.87392,0.32716,2.33535,1.00361,0.00634,0.00191825,0.00191825,0.00191825
4,635.093,2.26711,0.84415,0.00378,0.81386,0.75826,0.77916,0.24491,2.62052,1.21555,0.00707,0.0018812,0.0018812,0.0018812
5,756.95,2.26118,0.84232,0.00373,0.89005,0.87348,0.92416,0.39116,2.18095,0.70487,0.00595,0.0018416,0.0018416,0.0018416
6,835.842,2.23901,0.83058,0.00378,0.87679,0.85716,0.89642,0.33705,2.25453,0.84625,0.00612,0.001802,0.001802,0.001802
7,915.041,2.24473,0.84382,0.00375,0.90299,0.86951,0.92734,0.41451,2.05806,0.74686,0.00559,0.0017624,0.0017624,0.0017624
8,994.631,2.20419,0.8044,0.00358,0.88024,0.85148,0.90961,0.34748,2.31064,0.79742,0.00621,0.0017228,0.0017228,0.0017228
9,1074.22,2.18552,0.78178,0.00361,0.87111,0.81126,0.87186,0.31728,2.35551,0.81001,0.00635,0.0016832,0.0016832,0.0016832
10,1153.52,2.21047,0.79383,0.00369,0.8694,0.8143,0.85093,0.28972,2.52772,0.93422,0.00684,0.0016436,0.0016436,0.0016436
11,1232.76,2.15654,0.77255,0.00352,0.86024,0.82267,0.86775,0.32473,2.40452,0.84534,0.00652,0.001604,0.001604,0.001604
12,1311.54,2.1629,0.7804,0.00351,0.88217,0.82039,0.88449,0.31286,2.49351,0.80159,0.00677,0.0015644,0.0015644,0.0015644
