epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,64.1793,1.05457,2.28952,0.04159,0.04624,0.89849,0.89178,0.95408,0.74512,0.89663,0.49494,0.04229,0.03966,0.000664509,0.000664509,0.000664509
2,107.165,1.15034,0.78016,0.04119,0.05473,0.89406,0.89589,0.94986,0.75042,0.92294,0.50047,0.04319,0.0403,0.00130482,0.00130482,0.00130482
3,150.554,1.14369,0.66559,0.04122,0.0537,0.94768,0.94384,0.98209,0.80423,0.80407,0.34043,0.035,0.04132,0.00191873,0.00191873,0.00191873
4,192.528,1.0773,0.62805,0.03694,0.0462,0.92029,0.8589,0.94041,0.75891,0.82217,0.5659,0.03652,0.05717,0.0018812,0.0018812,0.0018812
5,242.28,1.06213,0.62011,0.03764,0.04268,0.93783,0.95479,0.9848,0.83451,0.7338,0.31117,0.03135,0.03452,0.0018416,0.0018416,0.0018416
6,287.368,1.0632,0.57446,0.03904,0.04182,0.96222,0.97397,0.99211,0.8415,0.73193,0.26578,0.03341,0.02975,0.001802,0.001802,0.001802
7,333.837,1.0162,0.5089,0.03629,0.03932,0.94007,0.96712,0.98765,0.84913,0.66844,0.28288,0.03015,0.03291,0.0017624,0.0017624,0.0017624
8,375.36,1.0118,0.53084,0.03669,0.03994,0.98741,0.96663,0.99257,0.84423,0.68117,0.24965,0.03088,0.02548,0.0017228,0.0017228,0.0017228
9,416.696,0.98814,0.51398,0.03509,0.03657,0.97652,0.96858,0.9923,0.86429,0.64239,0.2348,0.02895,0.02905,0.0016832,0.0016832,0.0016832
10,458.455,0.96022,0.47823,0.0352,0.03646,0.97788,0.96891,0.99169,0.86356,0.64499,0.24637,0.02896,0.03036,0.0016436,0.0016436,0.0016436
11,499.896,0.98265,0.49755,0.03633,0.03526,0.97902,0.9589,0.99187,0.85847,0.64876,0.23757,0.02999,0.02492,0.001604,0.001604,0.001604
12,541.096,0.95257,0.49297,0.03571,0.03488,0.98048,0.96309,0.99267,0.87278,0.61348,0.23142,0.02743,0.02335,0.0015644,0.0015644,0.0015644
13,584.13,0.94625,0.47173,0.03517,0.03141,0.97924,0.96906,0.99223,0.86597,0.61464,0.23392,0.02823,0.02109,0.0015248,0.0015248,0.0015248
14,625.399,0.94238,0.47253,0.03574,0.03151,0.98063,0.96027,0.99267,0.85887,0.64458,0.24528,0.02871,0.02234,0.0014852,0.0014852,0.0014852
15,667.886,0.92201,0.4556,0.03352,0.03106,0.97098,0.96246,0.99141,0.87942,0.59044,0.23102,0.02633,0.0238,0.0014456,0.0014456,0.0014456
16,709.447,0.90811,0.43881,0.03381,0.02997,0.98438,0.98082,0.99367,0.87379,0.62114,0.20845,0.02798,0.01985,0.001406,0.001406,0.001406
17,750.662,0.92676,0.43212,0.0337,0.03166,0.9833,0.97397,0.99303,0.87855,0.61699,0.21535,0.02793,0.01946,0.0013664,0.0013664,0.0013664
18,791.909,0.89706,0.42132,0.03228,0.02854,0.97414,0.9804,0.99332,0.87962,0.5911,0.21613,0.02704,0.02164,0.0013268,0.0013268,0.0013268
19,833.711,0.88767,0.41083,0.034,0.0276,0.99044,0.97671,0.99424,0.87955,0.60027,0.20234,0.02678,0.01701,0.0012872,0.0012872,0.0012872
20,874.948,0.86922,0.40397,0.03217,0.02724,0.97364,0.97945,0.99251,0.8752,0.59148,0.21832,0.02733,0.01885,0.0012476,0.0012476,0.0012476
21,916.235,0.88236,0.41726,0.03282,0.02883,0.98487,0.98067,0.99397,0.88854,0.5612,0.19716,0.02516,0.02196,0.001208,0.001208,0.001208
22,957.694,0.88147,0.40297,0.03289,0.02787,0.98185,0.97945,0.99328,0.88265,0.58201,0.2032,0.02723,0.0203,0.0011684,0.0011684,0.0011684
