epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05146,0.82065,10.43,0.68073,0.77692,1.26901,0.88742,0.97596,0.9481,0.70848,0.00376,0.00476,0.00011,2e-05,0.70707,9.48045,0.47425,0.85625,1.34545,0.00065942,0.00065942,0.00065942
2,14.3125,0.74364,8.68596,0.62012,0.60193,1.16659,0.95031,0.90476,0.96732,0.79187,0.0056,0.00476,0.00014,4e-05,0.70672,6.90782,0.46175,1.36612,1.24638,0.00131296,0.00131296,0.00131296
3,20.4809,0.80102,7.90919,0.59547,0.63763,1.21774,0.87579,0.873,0.92002,0.67635,0.0296,0.01905,0.00125,0.00018,0.84186,6.99783,0.45413,1.39652,1.35313,0.0019533,0.0019533,0.0019533
4,26.5525,0.80525,7.28466,0.56187,0.63535,1.21291,0.96185,0.96052,0.98331,0.78435,0.2926,0.25714,0.08224,0.00919,0.76849,5.57752,0.41076,0.56819,1.33511,0.0019406,0.0019406,0.0019406
5,32.7039,0.77694,6.78119,0.53283,0.60921,1.20514,0.982,0.98095,0.99344,0.82708,0.53879,0.50952,0.30901,0.04803,0.68423,4.76362,0.41896,0.46982,1.225,0.0019208,0.0019208,0.0019208
6,40.8391,0.75521,6.49394,0.50176,0.59026,1.18375,0.97632,0.99048,0.99153,0.79231,0.38031,0.38571,0.16916,0.02544,0.76675,5.54835,0.37814,0.51557,1.27965,0.001901,0.001901,0.001901
7,46.897,0.7443,6.31384,0.46935,0.58133,1.19073,0.97969,0.98095,0.99399,0.85596,0.65089,0.65238,0.5152,0.09656,0.61324,4.21127,0.34192,0.43202,1.13173,0.0018812,0.0018812,0.0018812
8,52.9809,0.69426,5.93348,0.44671,0.54317,1.14405,0.98105,0.98594,0.99345,0.85087,0.5478,0.54803,0.33983,0.04959,0.60629,4.50038,0.2595,0.43098,1.12989,0.0018614,0.0018614,0.0018614
9,59.0287,0.68236,5.899,0.42862,0.52765,1.13806,0.97743,0.9619,0.99271,0.86783,0.56501,0.55238,0.37704,0.06124,0.59254,4.19164,0.23131,0.44237,1.09373,0.0018416,0.0018416,0.0018416
10,65.1227,0.66804,5.59314,0.41202,0.50935,1.12206,0.99045,0.98735,0.99486,0.87691,0.67487,0.67212,0.5425,0.10214,0.58937,3.93938,0.24445,0.39159,1.08292,0.0018218,0.0018218,0.0018218
11,71.3665,0.67337,5.51347,0.39052,0.50194,1.13007,0.99555,0.98571,0.99495,0.8939,0.66639,0.65632,0.59242,0.1139,0.50566,4.03138,0.26784,0.36394,1.02873,0.001802,0.001802,0.001802
12,77.5161,0.63206,5.40894,0.38271,0.48395,1.09561,0.99696,0.98095,0.99481,0.88426,0.68924,0.7,0.56626,0.09368,0.52485,4.01075,0.2957,0.35976,1.03389,0.0017822,0.0017822,0.0017822
13,83.6277,0.62574,5.40143,0.3786,0.47649,1.10517,0.98591,0.99939,0.99495,0.89347,0.82584,0.8381,0.74278,0.14428,0.51629,3.72792,0.20097,0.37079,1.01765,0.0017624,0.0017624,0.0017624
14,89.7947,0.61031,5.33882,0.3629,0.46449,1.09745,0.99577,0.98095,0.99486,0.87822,0.69636,0.68571,0.60099,0.10633,0.52941,3.86815,0.20341,0.3558,1.03828,0.0017426,0.0017426,0.0017426
15,95.8704,0.61751,5.11613,0.35533,0.47068,1.09854,0.99523,0.99388,0.99495,0.90374,0.83788,0.8368,0.76426,0.14561,0.4873,3.66476,0.18659,0.32499,1.00238,0.0017228,0.0017228,0.0017228
16,102.06,0.60802,5.14324,0.3468,0.45898,1.09662,0.99052,0.99517,0.99491,0.88756,0.80833,0.82381,0.77259,0.15608,0.51613,3.61609,0.16887,0.34246,1.0554,0.001703,0.001703,0.001703
17,108.084,0.60309,4.93871,0.33638,0.45016,1.08307,0.99762,1,0.995,0.90985,0.75957,0.75221,0.60037,0.12273,0.45338,3.67243,0.16879,0.30975,0.96016,0.0016832,0.0016832,0.0016832
18,114.102,0.58733,5.16209,0.31974,0.44639,1.07491,0.9973,0.98095,0.9949,0.90034,0.8126,0.8,0.71784,0.15884,0.47455,3.64102,0.1434,0.33695,0.98988,0.0016634,0.0016634,0.0016634
19,120.176,0.58157,4.96557,0.30712,0.44681,1.0854,0.99518,0.98296,0.99472,0.90762,0.79756,0.78797,0.71294,0.14948,0.49169,3.60436,0.15971,0.34008,0.98208,0.0016436,0.0016436,0.0016436
20,126.192,0.58177,4.87173,0.30808,0.43345,1.06699,0.99474,1,0.995,0.91433,0.84736,0.85238,0.7718,0.18409,0.43448,3.42896,0.14463,0.28694,0.94656,0.0016238,0.0016238,0.0016238
21,132.398,0.5585,4.77958,0.29514,0.41922,1.05149,1,0.99424,0.995,0.91499,0.86593,0.86121,0.76323,0.16189,0.42374,3.44496,0.1341,0.29959,0.93631,0.001604,0.001604,0.001604
22,138.43,0.54671,4.75181,0.29142,0.41922,1.062,0.99523,0.99446,0.99495,0.91342,0.8571,0.85682,0.77729,0.17949,0.44369,3.42753,0.13774,0.30644,0.95587,0.0015842,0.0015842,0.0015842
23,144.43,0.55764,4.63391,0.28553,0.42047,1.06434,0.98988,1,0.99495,0.91462,0.7975,0.79048,0.73013,0.16587,0.43968,3.51224,0.1423,0.32096,0.94274,0.0015644,0.0015644,0.0015644
24,150.54,0.53902,4.6982,0.27818,0.41871,1.05249,0.99904,0.99048,0.995,0.92652,0.87405,0.86667,0.81017,0.20027,0.4172,3.31525,0.11666,0.28703,0.94236,0.0015446,0.0015446,0.0015446
25,156.694,0.53832,4.53676,0.2821,0.40751,1.05001,0.98941,0.99524,0.99486,0.92137,0.8896,0.89524,0.83722,0.19428,0.42507,3.41635,0.126,0.30077,0.94203,0.0015248,0.0015248,0.0015248
26,162.837,0.55541,4.54492,0.27049,0.41067,1.05758,0.99003,1,0.99495,0.92237,0.87183,0.88095,0.82145,0.1945,0.42397,3.41062,0.12657,0.30386,0.94859,0.001505,0.001505,0.001505
27,168.862,0.5372,4.43642,0.26917,0.40262,1.04573,0.98483,1,0.99438,0.91128,0.92877,0.93141,0.90277,0.20662,0.42753,3.34688,0.11587,0.30269,0.95363,0.0014852,0.0014852,0.0014852
28,174.896,0.5236,4.56493,0.25835,0.39775,1.03333,0.99702,0.99524,0.995,0.92299,0.8767,0.87619,0.79255,0.1802,0.41407,3.35783,0.11063,0.29665,0.92036,0.0014654,0.0014654,0.0014654
29,180.946,0.50922,4.4446,0.26079,0.3954,1.03835,0.99055,0.99856,0.99491,0.94187,0.88463,0.89048,0.8352,0.20729,0.38716,3.28026,0.13795,0.29443,0.91159,0.0014456,0.0014456,0.0014456
30,187.001,0.51256,4.41308,0.26143,0.38831,1.02886,0.99055,0.99811,0.99495,0.92919,0.89593,0.90952,0.86217,0.21745,0.38175,3.25851,0.1012,0.28168,0.90333,0.0014258,0.0014258,0.0014258
31,193.173,0.52235,4.34764,0.25215,0.38822,1.03827,0.99041,1,0.99495,0.91561,0.85823,0.86667,0.78183,0.17136,0.42063,3.37839,0.0931,0.2922,0.94046,0.001406,0.001406,0.001406
32,199.177,0.49821,4.3214,0.24781,0.38114,1.01876,0.99016,1,0.995,0.93788,0.90529,0.91429,0.88559,0.2395,0.40389,3.214,0.09163,0.27618,0.93572,0.0013862,0.0013862,0.0013862
33,205.308,0.49329,4.26327,0.24339,0.37906,1.03815,0.99476,1,0.99495,0.92859,0.91421,0.91905,0.88828,0.2328,0.39032,3.20112,0.08629,0.26393,0.8978,0.0013664,0.0013664,0.0013664
34,211.352,0.49098,4.25837,0.24474,0.36879,1.02499,0.9943,0.99524,0.995,0.93078,0.90802,0.90952,0.90927,0.25384,0.38773,3.29484,0.07821,0.28788,0.90142,0.0013466,0.0013466,0.0013466
35,217.451,0.48402,4.27828,0.23803,0.37744,1.01788,0.99002,1,0.99495,0.93518,0.891,0.9,0.87093,0.24012,0.38019,3.20413,0.08131,0.26513,0.89798,0.0013268,0.0013268,0.0013268
36,223.583,0.50485,4.24647,0.23933,0.38024,1.02463,0.99057,0.99998,0.995,0.93812,0.91364,0.91429,0.85114,0.22718,0.35117,3.18947,0.10055,0.25673,0.87983,0.001307,0.001307,0.001307
37,229.703,0.479,4.12772,0.23318,0.36199,1.01631,0.98574,1,0.99495,0.94871,0.93265,0.94286,0.92485,0.2503,0.36248,3.19541,0.10368,0.25798,0.88861,0.0012872,0.0012872,0.0012872
38,235.819,0.47862,4.07667,0.23933,0.35686,1.02059,0.98988,1,0.99495,0.94885,0.94273,0.95238,0.94758,0.27969,0.36054,3.15524,0.09185,0.2627,0.8834,0.0012674,0.0012674,0.0012674
39,242.065,0.48261,4.09933,0.23353,0.37038,1.01816,0.98971,1,0.99495,0.93406,0.92331,0.91734,0.89773,0.23428,0.37904,3.21403,0.07686,0.2669,0.89213,0.0012476,0.0012476,0.0012476
40,248.29,0.48344,4.11357,0.22919,0.36302,1.00826,0.99032,1,0.995,0.94549,0.92425,0.93333,0.92979,0.26484,0.36423,3.17471,0.08324,0.23982,0.88793,0.0012278,0.0012278,0.0012278
