epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.09,1.40157,10.621,0.63282,0.96745,1.36831,0.91317,0.78091,0.88445,0.48972,0.00014,0.00014,2e-05,1e-05,1.57043,9.47716,0.4384,0.78555,1.4133,0.00998102,0.00332701,0.00998102,0.00332701,0.00998102,0.00332701,0.00998102,0.00332701
2,112.17,1.22022,8.75516,0.55174,0.70383,1.21559,0.89355,0.79302,0.86983,0.46176,0.04635,0.02605,0.00304,0.00038,1.58519,8.36211,0.38087,0.79937,1.42272,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944
3,158.31,1.23539,7.98703,0.50987,0.7212,1.22621,0.84866,0.75206,0.84776,0.42897,0.09522,0.05399,0.01857,0.00267,1.6756,8.27522,0.32692,0.88551,1.52599,0.0293874,0.0097958,0.0293874,0.0097958,0.0293874,0.0097958,0.0293874,0.0097958
4,203.288,1.23609,7.58641,0.44903,0.72465,1.2249,0.88937,0.71877,0.82324,0.4221,0.16426,0.08163,0.03158,0.00487,1.65843,7.80304,0.26212,0.9286,1.51339,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,248.244,1.18883,7.1911,0.38142,0.68565,1.20003,0.88053,0.77073,0.84827,0.43713,0.21789,0.11898,0.05757,0.01126,1.70232,7.65565,0.20867,0.82779,1.49964,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,292.878,1.15509,6.95987,0.33739,0.66356,1.18707,0.86591,0.73585,0.82115,0.45642,0.22573,0.11724,0.06262,0.0118,1.56289,7.45183,0.19455,0.81641,1.41349,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,337.712,1.12817,6.75609,0.30705,0.63687,1.17007,0.87992,0.77971,0.8689,0.4747,0.28553,0.12627,0.07623,0.01595,1.56631,7.65611,0.16167,0.79358,1.41725,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,382.665,1.10017,6.6477,0.28506,0.62307,1.15065,0.90671,0.75543,0.85686,0.48558,0.2184,0.11478,0.06432,0.01297,1.47227,7.18409,0.14951,0.75541,1.32279,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,427.426,1.0913,6.54423,0.26884,0.61716,1.14331,0.90178,0.77363,0.85243,0.45869,0.26534,0.13576,0.08055,0.01736,1.56211,7.33294,0.14428,0.74813,1.42646,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,472.299,1.08032,6.44588,0.25612,0.60493,1.12998,0.91396,0.77186,0.83776,0.46595,0.26158,0.14428,0.07476,0.01408,1.47694,7.09119,0.13359,0.74502,1.32079,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,516.952,1.06419,6.32903,0.2472,0.59434,1.12468,0.8948,0.77066,0.84041,0.44952,0.25361,0.12028,0.07022,0.01542,1.56291,7.32267,0.13004,0.76504,1.42579,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,561.602,1.04503,6.28371,0.23942,0.5841,1.11638,0.90587,0.76075,0.85312,0.48671,0.29067,0.12867,0.09121,0.02083,1.47468,7.04859,0.12539,0.73688,1.34083,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,606.417,1.02841,6.15294,0.23196,0.5754,1.11156,0.89475,0.77146,0.85295,0.49923,0.28202,0.14112,0.10659,0.0245,1.52899,7.38412,0.14982,0.74619,1.43085,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,651.081,1.0254,6.12561,0.22724,0.57321,1.10724,0.90654,0.75062,0.83951,0.4816,0.32519,0.14402,0.11159,0.02602,1.48551,7.00851,0.13002,0.77248,1.35133,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,695.683,1.01287,6.07127,0.22537,0.56503,1.10144,0.90647,0.76205,0.8368,0.46075,0.29,0.13794,0.09508,0.02218,1.57651,7.3624,0.12254,0.6975,1.44365,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,740.065,1.00729,6.01092,0.21885,0.5636,1.098,0.88519,0.76667,0.8697,0.52052,0.31573,0.15588,0.14333,0.03394,1.47894,7.05596,0.12894,0.74847,1.38718,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
