epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,380.399,1.33617,8.08985,0.70089,0.74603,0.01634,12.9616,0.86766,0.80061,0.86481,0.52826,0.46981,0.29588,0.19156,0.03749,1.30063,5.53926,0.39664,0.60955,0.02008,0,0.00999049,0.00333016,0.00999049,0.00333016,0.00999049,0.00333016,0.00999049,0.00333016
2,701.751,1.08481,5.44336,0.54489,0.46439,0.01266,6.53935,0.92274,0.83481,0.88106,0.53794,0.56999,0.42538,0.34521,0.07802,1.22219,4.78017,0.30348,0.55813,0.01831,0,0.0197926,0.00659753,0.0197926,0.00659753,0.0197926,0.00659753,0.0197926,0.00659753
3,1010.48,1.09388,5.09733,0.46232,0.48145,0.01294,6.17588,0.84788,0.83248,0.90917,0.56416,0.5292,0.41879,0.33846,0.07654,1.25453,4.69335,0.26351,0.63969,0.01877,0,0.0293967,0.00979889,0.0293967,0.00979889,0.0293967,0.00979889,0.0293967,0.00979889
4,1316.18,1.0812,4.82108,0.39072,0.48263,0.01266,5.78599,0.90964,0.81315,0.89168,0.59134,0.57979,0.42759,0.36021,0.08344,1.15644,4.65409,0.20996,0.52612,0.01737,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1624.24,0.99251,4.29755,0.33219,0.44963,0.01131,5.07101,0.88083,0.79712,0.8569,0.45886,0.66114,0.48377,0.43062,0.10449,1.55295,4.44744,0.19459,0.62384,0.02552,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1929.1,0.95264,3.94972,0.29621,0.41123,0.0108,4.63879,0.88843,0.77951,0.85844,0.52227,0.57043,0.4145,0.35432,0.0917,1.3834,4.7565,0.17857,0.59052,0.02147,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2233.62,0.91039,3.74528,0.27371,0.39909,0.01029,4.40453,0.91256,0.81411,0.88376,0.62604,0.68027,0.50444,0.50117,0.13634,1.00088,4.30053,0.1647,0.51853,0.01456,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2538.72,0.88068,3.54173,0.25794,0.37996,0.00985,4.07349,0.90723,0.82157,0.8861,0.59811,0.64923,0.48056,0.45687,0.12154,1.11268,4.36595,0.15965,0.50897,0.01655,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2843.18,0.85677,3.38318,0.24775,0.36593,0.0096,3.88233,0.90331,0.82564,0.90111,0.63152,0.6841,0.52855,0.54072,0.15121,1.04566,4.24148,0.15759,0.50895,0.01545,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3150.69,0.83081,3.24723,0.23532,0.35884,0.00923,3.68028,0.91289,0.81903,0.89296,0.63115,0.6817,0.53209,0.51941,0.13665,0.97829,4.26753,0.14832,0.5236,0.01412,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3455.07,0.80667,3.11226,0.22834,0.34596,0.0089,3.51625,0.93384,0.80941,0.8939,0.60488,0.71031,0.54527,0.54559,0.1486,1.12618,4.18475,0.15431,0.51342,0.01661,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3759.71,0.79243,3.00039,0.21974,0.33573,0.00869,3.34852,0.92587,0.83256,0.90347,0.63889,0.70202,0.56527,0.55664,0.15847,0.97455,4.05238,0.13452,0.50361,0.01414,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4064.56,0.78086,2.9284,0.21178,0.3282,0.00855,3.2186,0.93457,0.84209,0.90678,0.64348,0.71548,0.55785,0.54796,0.14985,0.97157,4.06789,0.13619,0.4656,0.01393,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4369.39,0.7641,2.867,0.20691,0.31836,0.00835,3.11964,0.93607,0.81409,0.89296,0.65183,0.6766,0.5123,0.50502,0.14321,0.95483,4.23386,0.14173,0.4982,0.01392,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4674.08,0.75065,2.79828,0.20272,0.31109,0.00821,3.06716,0.92907,0.79654,0.86601,0.61681,0.71939,0.5425,0.5507,0.1517,1.0302,4.1983,0.14209,0.5729,0.01524,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4978.78,0.73775,2.71614,0.1952,0.30722,0.00802,2.94853,0.9353,0.82797,0.89719,0.64814,0.73366,0.56062,0.56093,0.16074,0.92865,4.05429,0.12353,0.48293,0.01324,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5287.12,0.72535,2.69213,0.19032,0.29777,0.0079,2.87395,0.93274,0.83874,0.91482,0.65266,0.72589,0.56717,0.56301,0.15745,0.95002,4.07532,0.12624,0.46802,0.0138,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5591.82,0.71871,2.63781,0.18814,0.30447,0.00783,2.80141,0.94383,0.84865,0.92347,0.63961,0.72706,0.59671,0.61721,0.18033,1.03373,3.93469,0.11758,0.46977,0.0151,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5898.1,0.71259,2.57593,0.18406,0.29736,0.00774,2.73733,0.94364,0.8354,0.90803,0.66453,0.76733,0.57117,0.60542,0.17438,0.93883,3.98107,0.11518,0.478,0.01339,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6212.21,0.70279,2.54221,0.18211,0.28957,0.00763,2.67213,0.92958,0.81458,0.8818,0.57575,0.67462,0.55421,0.51827,0.14253,1.10707,4.08401,0.11074,0.53359,0.0164,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
