epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,312.028,1.72805,8.12782,0.36901,0.86061,0.03,14.0468,0.75172,0.60545,0.682,0.29505,0.13784,0.0553,0.01526,0.00252,2.07107,7.71233,0.18941,1.15295,0.03475,0,0.000666033,0.000666033,0.000666033
2,2137.36,1.564,6.21992,0.23918,0.66554,0.02619,9.20805,0.76785,0.58199,0.61827,0.22869,0.24106,0.12807,0.05624,0.01016,2.43832,6.50928,0.13926,0.97662,0.04502,0,0.00120076,0.00120076,0.00120076
3,2423.06,1.37284,5.27616,0.16833,0.54502,0.02245,8.06484,0.83198,0.66279,0.74648,0.33111,0.27289,0.15806,0.09263,0.01624,2.06473,6.21027,0.12841,0.89533,0.03612,0,0.00160349,0.00160349,0.00160349
4,2708.04,1.21271,4.5986,0.14142,0.46444,0.01927,7.23793,0.85907,0.68229,0.77056,0.39862,0.45854,0.28744,0.2127,0.04102,1.80222,5.62958,0.14425,0.83676,0.02964,0,0.001406,0.001406,0.001406
5,2993.39,1.0672,4.07736,0.12589,0.39049,0.01655,6.58857,0.8427,0.74692,0.79522,0.46559,0.47912,0.31393,0.26277,0.06128,1.54539,5.34011,0.12885,0.67588,0.02454,0,0.001208,0.001208,0.001208
6,3278.07,0.98148,3.70636,0.117,0.35813,0.0149,6.0958,0.87859,0.73827,0.81707,0.49544,0.53515,0.34202,0.29731,0.06896,1.42491,5.10223,0.11893,0.64357,0.02246,0,0.00101,0.00101,0.00101
7,3563.14,0.90667,3.44159,0.11055,0.32389,0.01373,5.7522,0.86938,0.74102,0.82124,0.49858,0.56217,0.39194,0.37264,0.092,1.46324,4.93941,0.11455,0.69084,0.02316,0,0.000812,0.000812,0.000812
8,3848.47,0.82589,3.21875,0.10707,0.29365,0.01225,5.40515,0.89097,0.74487,0.82848,0.53799,0.57696,0.39106,0.39709,0.10307,1.31298,4.92102,0.10467,0.70987,0.0203,0,0.000614,0.000614,0.000614
9,4133.55,0.78325,3.07667,0.10623,0.28109,0.01162,5.2117,0.89381,0.74836,0.8333,0.53868,0.56448,0.3999,0.39255,0.10104,1.32708,4.8777,0.11782,0.7008,0.02066,0,0.000416,0.000416,0.000416
10,4418.38,0.73918,2.94872,0.10273,0.26753,0.01089,5.01271,0.90111,0.75197,0.83866,0.55596,0.6043,0.41129,0.42472,0.10952,1.27184,4.80905,0.12166,0.68296,0.01967,0,0.000218,0.000218,0.000218
